Season,Club (grouped),Club,First Name,Last Name,Position,Total Compensation,Base Salary
2018,TFC,TOR,Sebastian,Giovinco,F,7115556,5600000
2018,TFC,TOR,Michael,Bradley,M,6500000,6000000
2018,LAFC,LAFC,Carlos,Vela,F,6292500,4500000
2018,CHI,CHI,Bastian,Schweinsteiger,M,6100000,6100000
2018,LAG,LA,Giovani,dos Santos,F,6000000,4250000
2018,NYC,NYCFC,David,Villa,F,5610000,5610000
2018,TFC,TOR,Jozy,Altidore,F,5000000,5000000
2018,MTL,MTL,Ignacio,Piatti,M,4713333,500000
2018,COL,COL,Tim,Howard,GK,2475000,2000000
2018,POR,POR,Diego,Valeri,M,2380000,2320000
2018,SEA,SEA,Nicolas,Lodeiro,M,2302500,1800000
2018,ATL,ATL,Miguel,Almiron,M,2297000,1912500
2018,MLS,MLS,Yura,Movsisyan,F,2073750,1850000
2018,NYC,NYCFC,Maxi,Moralez,M,2000000,2000000
2018,LAG,LA,Jonathan,dos Santos,M,2000000,2000000
2018,POR,POR,Fanendo,Adi,F,1933333,1275000
2018,CHI,CHI,Nemanja,Nikolic,F,1906333,1700000
2018,LAG,LA,Romain,Alessandrini,M,1869996,1539996
2018,PHI,PHI,Borek,Dockal,M,1714286,1714286
2018,COL,COL,Shkelzen,Gashi,F,1668750,1575000
2018,MNU,MNUFC,Darwin,Quintero,F,1650000,1650000
2018,KC,KC,Felipe,Gutierrez,M,1650000,1600000
2018,SEA,SEA,Clint,Dempsey,F,1650000,1100000
2018,RBNY,NYRB,Bradley,Wright-Phillips,F,1635000,1500000
2018,TFC,TOR,Victor,Vazquez,M,1500000,1365000
2018,LAG,LA,Zlatan,Ibrahimovic,F,1500000,1500000
2018,SJ,SJ,"Valeri ""Vako""",Qazaishvili,M,1454042,1325004
2018,ATL,ATL,Ezequiel,Barco,M,1425000,1425000
2018,ATL,ATL,Josef,Martinez,F,1387318,1270008
2018,ORL,ORL,Dom,Dwyer,F,1383333,1200000
2018,POR,POR,Sebastian,Blanco,M,1375008,1300008
2018,TFC,TOR,Ager,Aketxe Barrutia,M,1295000,1190000
2018,CHI,CHI,Aleksandar,Katai,M,1276333,1140000
2018,PHI,PHI,Alejandro,Bedoya,M,1266250,1200000
2018,PHI,PHI,David,Accam,F-M,1250000,1250000
2018,RSL,RSL,Alfredo,Ortuno,F,1162500,990000
2018,SEA,SEA,Osvaldo,Alonso,M,1141667,1100000
2018,ORL,ORL,Sacha,Kljestan,M,1100000,1025000
2018,CLB,CLB,Federico,Higuain,M,1100000,1100000
2018,SEA,SEA,Victor,Rodriguez,M,1087500,1000000
2018,LAFC,LAFC,Diego,Rossi,F,1052000,1000000
2018,POR,POR,Lucas,Melano,F,1050000,830000
2018,RSL,RSL,Damir,Kreilach,M,1013333,900000
2018,NE,NE,Krisztian,Nemeth,F,1007667,900000
2018,DC,DC,Zoltan,Stieber,M,1000000,1000000
2018,LAG,LA,Jorgen,Skjelvik,D,1000000,900000
2018,VAN,VAN,Kei,Kamara,F,1000000,1000000
2018,RBNY,NYRB,Marc,Rzatkowski,M,976167,885000
2018,FCD,DAL,Mauro,Diaz,M,949890,853000
2018,LAFC,LAFC,Adama,Diomande,F,935000,850000
2018,LAG,LA,Ola,Kamara,F,925000,825000
2018,NE,NE,Claude,Dielna,D,909861,780000
2018,RSL,RSL,Albert,Rusnak,M,907821,850008
2018,COL,COL,Yannick,Boli,F,907500,775000
2018,KC,KC,Roger,Espinoza,M,900000,900000
2018,CLB,CLB,Jonathan,Mensah,D,868996,774996
2018,ORL,ORL,Lamine,Sane,D,855000,807500
2018,COL,COL,Stefan,Aigner,M,845885,800000
2018,TFC,TOR,Gregory,Van Der Wiel,D,835000,800000
2018,FCD,DAL,Roland,Lamah,M,818500,675000
