"","Total.Compensation","GP","GS","G","A","SHTS","SOG","FS","OFF"
"1",67500,16,14,0,0,3,1,11,0
"2",67500,3,3,0,0,1,1,2,0
"3",69658,11,7,0,3,16,5,8,2
"4",73125,4,4,0,1,3,1,2,0
"5",73125,34,31,3,2,23,10,17,0
"6",189438,10,10,0,1,2,0,3,0
"7",186000,16,5,1,1,12,6,8,5
"8",122833,5,2,0,0,1,0,3,0
"9",122833,0,0,0,0,0,0,0,0
"10",97500,0,0,0,0,0,0,0,0
"11",97500,8,0,0,0,3,0,2,2
"12",433750,16,12,0,1,6,1,15,0
"13",71500,0,0,0,0,0,0,0,0
"14",935000,18,14,12,4,39,22,10,10
"15",236508,21,18,0,0,5,0,6,0
"16",99375,0,0,0,0,0,0,0,0
"17",150000,23,7,4,0,19,10,14,5
"18",907821,2,2,1,0,5,1,3,0
"19",907821,31,29,10,7,67,29,20,6
"20",650340,30,27,11,10,101,44,51,7
"21",1266250,33,31,3,6,40,13,17,7
"22",112508,22,21,3,1,8,4,7,0
"23",800040,31,27,5,11,53,20,25,6
"24",1276333,33,27,12,5,97,41,32,17
"25",95004,5,0,1,0,1,1,0,0
"26",95004,0,0,0,0,0,0,0,0
"27",114000,4,4,1,1,5,1,0,2
"28",114000,30,13,3,5,31,17,30,11
"29",54500,19,7,0,1,10,2,8,2
"30",54500,0,0,0,0,0,0,0,0
"31",564000,31,31,1,0,21,2,30,2
"32",564000,3,3,0,0,0,0,3,1
"33",411667,3,3,0,0,0,0,3,0
"34",411667,30,29,2,0,30,8,16,1
"35",339450,18,16,0,0,22,7,16,1
"36",72500,31,27,8,11,37,15,59,11
"37",241625,24,24,2,3,25,9,26,1
"38",241625,3,1,0,0,1,0,3,0
"39",700567,22,17,0,0,7,1,7,1
"40",55654,0,0,0,0,0,0,0,0
"41",55654,0,0,0,0,0,0,0,0
"42",88333,20,19,1,0,6,4,9,0
"43",68927,0,0,0,0,0,0,0,0
"44",68927,0,0,0,0,0,0,0,0
"45",67500,26,11,1,2,14,2,16,0
"46",67500,1,1,0,0,0,0,2,0
"47",87400,0,0,0,0,0,0,0,0
"48",87400,7,2,0,1,5,3,1,0
"49",267600,31,30,2,2,12,3,21,1
"50",230000,22,20,2,1,14,7,12,1
"51",55654,0,0,0,0,0,0,0,0
"52",55654,1,0,0,0,0,0,0,0
"53",150000,5,5,0,0,3,0,3,0
"54",150000,23,18,1,2,33,14,10,0
"55",383000,0,0,0,0,0,0,0,0
"56",473125,27,27,0,2,15,3,71,2
"57",295203,18,8,1,1,20,7,9,7
"58",73422,5,1,1,0,5,1,2,0
"59",155000,16,6,2,0,14,8,13,10
"60",192500,9,9,0,1,6,1,7,0
"61",434925,31,31,4,6,37,12,26,0
"62",434925,3,3,0,1,0,0,4,0
"63",400008,18,18,0,0,5,0,11,0
"64",67500,7,1,0,0,6,3,3,1
"65",157500,18,2,0,1,8,3,5,2
"66",722500,31,30,1,10,15,5,33,2
"67",121500,18,11,0,1,2,1,8,1
"68",450000,7,5,0,0,2,0,1,0
"69",450000,0,0,0,0,0,0,0,0
"70",109100,34,34,1,1,10,2,13,1
"71",140504,4,0,0,1,0,0,2,1
"72",175000,7,1,0,1,1,0,1,0
"73",6100000,31,30,4,6,24,8,51,0
"74",60518,0,0,0,0,0,0,0,0
"75",60518,1,1,1,0,1,1,2,0
"76",72800,2,1,0,0,4,2,1,1
"77",67500,28,24,0,1,16,4,6,5
"78",67500,3,3,0,0,0,0,1,1
"79",625000,34,32,3,6,38,11,76,0
"80",304008,8,6,0,1,3,2,4,1
"81",67500,0,0,0,0,0,0,0,0
"82",75000,4,2,0,0,1,1,2,0
"83",75000,13,7,1,0,11,4,4,0
"84",1714286,31,30,5,18,44,19,23,2
"85",2e+05,0,0,0,0,0,0,0,0
"86",2e+05,0,0,0,0,0,0,0,0
"87",1635000,4,4,0,0,6,2,9,5
"88",1635000,32,28,20,8,82,37,55,31
"89",57761,24,16,1,2,12,5,5,1
"90",186000,0,0,0,0,0,0,0,0
"91",145004,0,0,0,0,0,0,0,0
"92",145004,8,0,0,0,4,2,3,0
"93",144250,32,31,1,4,13,4,14,1
"94",67500,23,17,1,5,10,3,12,0
"95",745000,28,15,3,2,24,9,13,12
"96",85792,24,22,0,0,4,2,23,0
"97",70750,14,13,0,0,1,0,8,0
"98",67500,10,2,1,0,9,3,4,1
"99",237583,33,32,0,5,7,3,14,1
"100",237583,3,3,0,1,0,0,1,0
"101",71976,7,0,0,1,2,0,3,0
"102",56500,0,0,0,0,0,0,0,0
"103",105000,1,0,0,0,0,0,0,1
"104",80000,5,0,0,0,1,0,0,0
"105",730750,31,28,2,1,28,6,11,1
"106",444996,0,0,0,0,0,0,0,0
"107",444996,5,3,2,0,10,6,3,8
"108",6292500,28,26,14,13,97,44,73,9
"109",54500,8,4,0,1,0,0,2,0
"110",258333,0,0,0,0,0,0,0,0
"111",258333,1,0,0,0,0,0,0,0
"112",341250,1,1,0,0,0,0,0,0
"113",341250,30,30,4,1,19,5,13,1
"114",55654,0,0,0,0,0,0,0,0
"115",89167,23,16,0,1,7,1,15,0
"116",150000,15,14,0,1,1,0,11,0
"117",84000,0,0,0,0,0,0,0,0
"118",84000,0,0,0,0,0,0,0,0
"119",563333,12,11,0,0,2,0,5,1
"120",588000,2,0,0,0,0,0,0,0
"121",588000,22,21,1,0,10,4,19,3
"122",98750,32,23,3,7,32,13,31,10
"123",59500,1,0,0,0,1,1,0,0
"124",175000,26,15,5,6,26,8,25,2
"125",81250,9,8,1,0,4,1,3,0
"126",165833,6,3,1,0,2,2,1,0
"127",57992,6,2,0,0,3,0,0,0
"128",8e+05,34,23,10,5,58,22,15,14
"129",93125,2,2,0,0,0,0,1,0
"130",641250,27,20,9,2,43,17,25,13
"131",525000,32,29,4,3,53,21,65,9
"132",909861,17,15,0,0,20,7,6,1
"133",1650000,14,9,1,1,39,12,19,3
"134",1650000,0,0,0,0,0,0,0,0
"135",251004,17,14,0,0,4,0,15,0
"136",95004,12,5,0,1,4,3,6,0
"137",55654,0,0,0,0,0,0,0,0
"138",55654,0,0,0,0,0,0,0,0
"139",120750,2,2,0,0,1,0,3,0
"140",120750,21,15,0,1,6,0,19,0
"141",55654,1,0,0,1,0,0,0,0
"142",55654,0,0,0,0,0,0,0,0
"143",54504,2,1,0,0,0,0,0,0
"144",54504,31,21,8,5,39,20,13,14
"145",71224,29,15,10,1,61,19,35,9
"146",283500,0,0,0,0,0,0,0,0
"147",283500,19,18,1,3,21,8,14,0
"148",585000,15,6,2,0,21,11,7,8
"149",581663,21,18,4,0,18,7,49,0
"150",240000,7,3,2,0,6,4,2,0
"151",240000,0,0,0,0,0,0,0,0
"152",73415,14,11,0,2,14,5,13,9
"153",73415,1,0,0,0,0,0,0,0
"154",550000,33,33,12,7,95,38,50,3
"155",191000,1,1,0,1,0,0,0,0
"156",191000,34,34,4,9,32,16,55,4
"157",412000,21,16,8,1,44,21,24,7
"158",193750,5,1,1,1,4,3,6,0
"159",193750,17,7,1,0,23,9,11,8
"160",275004,26,26,1,2,11,7,39,0
"161",1013333,33,31,12,8,67,27,47,15
"162",1013333,3,3,3,1,9,4,4,2
"163",69500,1,0,0,0,0,0,0,0
"164",68254,7,3,0,0,2,2,1,0
"165",86625,31,29,1,5,11,1,21,4
"166",668750,4,4,2,2,8,3,2,2
"167",668750,29,24,11,2,72,32,27,10
"168",81625,29,26,11,7,78,31,26,10
"169",81625,4,4,3,0,11,4,5,2
"170",1e+05,0,0,0,0,0,0,0,0
"171",1e+05,12,10,0,2,4,2,13,0
"172",518000,34,29,12,4,83,33,19,30
"173",620000,5,5,0,0,4,0,8,0
"174",620000,23,23,0,3,18,2,23,0
"175",416667,25,14,10,0,42,19,22,5
"176",274375,24,20,1,0,8,2,20,0
"177",1650000,27,27,11,15,78,32,54,13
"178",74419,28,26,1,3,8,3,3,0
"179",1250000,23,13,1,0,37,14,22,14
"180",67500,1,0,0,0,0,0,0,0
"181",240000,14,11,3,1,17,6,12,1
"182",240000,5,5,0,0,7,1,3,2
"183",131629,5,3,0,0,2,0,8,0
"184",131629,0,0,0,0,0,0,0,0
"185",5610000,3,3,1,0,10,2,1,6
"186",5610000,23,20,14,5,100,42,26,16
"187",712500,26,26,0,3,10,2,34,0
"188",150000,15,13,0,0,3,0,2,0
"189",67500,25,22,0,0,3,0,8,2
"190",126250,0,0,0,0,0,0,0,0
"191",126250,5,5,0,0,2,0,2,0
"192",75900,12,3,0,0,6,1,9,0
"193",54500,23,13,1,2,19,6,28,0
"194",572000,6,6,0,1,1,0,7,0
"195",572000,27,26,2,0,8,3,64,0
"196",190000,33,30,9,10,68,30,33,8
"197",1052000,32,30,12,9,89,40,62,3
"198",2380000,32,31,10,12,86,29,47,17
"199",2380000,6,6,4,2,14,5,7,2
"200",180000,3,0,0,0,0,0,1,0
"201",95000,20,10,1,0,24,7,19,5
"202",96000,9,8,1,4,9,2,13,0
"203",1383333,26,25,13,0,78,36,50,41
"204",168750,26,24,9,3,59,23,39,17
"205",154238,14,14,0,0,6,1,2,0
"206",125004,4,3,0,1,1,0,2,0
"207",68907,11,5,0,1,0,0,1,0
"208",350004,8,6,0,0,1,1,6,0
"209",106667,0,0,0,0,0,0,0,0
"210",381250,27,21,1,0,7,2,8,0
"211",381250,1,0,0,0,0,0,0,0
"212",129996,28,28,3,5,28,7,40,3
"213",468000,25,16,1,2,19,4,17,0
"214",120200,0,0,0,0,0,0,0,0
"215",120200,10,3,1,1,11,4,12,0
